# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -12 2 52 16777236 456491691 3 ./scripts-old/socs-sync/convert_tz.sh
DUPTYPE_WITHIN_SAME_TREE -12 1 52 16777236 456489931 3 ./scripts-old/convert_tz.sh
DUPTYPE_WITHIN_SAME_TREE -12 2 52 16777236 456489925 3 ./scripts-old/ical-sync-master/convert_tz.sh
DUPTYPE_WITHIN_SAME_TREE -12 1 52 16777236 456498660 3 ./ical-sync-master/convert_tz.sh
DUPTYPE_WITHIN_SAME_TREE -12 1 52 16777236 456488187 3 ./socs-sync/convert_tz.sh
DUPTYPE_FIRST_OCCURRENCE 4716 6 53 16777236 456491395 3 ./scripts-old/ntop/ntop/html/statsicons/flags/eu.gif
DUPTYPE_WITHIN_SAME_TREE -4716 8 53 16777236 456497258 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/text-base/eu.gif.svn-base
DUPTYPE_FIRST_OCCURRENCE 3549 5 53 16777236 456489726 3 ./scripts-old/ntop/ntop/.svn/prop-base/AS-list.txt.gz.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456499312 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/bridge.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496387 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ro.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456499310 3 ./scripts-old/ntop/ntop/html/.svn/prop-base/brocade.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496389 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/qa.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496390 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/ch.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492443 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/bf.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492442 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/props/bh.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456499296 3 ./scripts-old/ntop/ntop/html/.svn/props/arrow_up.gif.svn-work
